               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.041453,            0.050683,           0.0094083,             0.93394,             0.47231,             0.58652,             0.32797,            0.034749,             0.04285,           0.0072632,            0.007888,            0.007888,            0.007888
                  66,            0.042199,            0.053164,           0.0098875,             0.92312,             0.42724,             0.57681,             0.30648,            0.037438,            0.045768,           0.0084959,            0.007855,            0.007855,            0.007855
                  67,            0.043092,            0.053881,            0.010444,             0.93768,             0.46373,             0.63125,             0.38013,             0.03319,            0.042483,           0.0073519,            0.007822,            0.007822,            0.007822
                  68,            0.040168,             0.04673,           0.0089835,             0.94466,             0.46353,             0.62125,             0.35607,            0.034095,            0.041414,            0.008039,            0.007789,            0.007789,            0.007789
                  69,            0.040341,            0.047669,            0.010715,             0.94022,             0.46281,             0.63982,             0.37363,            0.034348,            0.044771,           0.0074472,            0.007756,            0.007756,            0.007756
                  70,            0.041001,            0.053988,           0.0095686,             0.91642,              0.4543,             0.63429,             0.34138,            0.037021,            0.042412,           0.0085638,            0.007723,            0.007723,            0.007723
                  71,            0.040226,            0.051228,           0.0094679,             0.95574,             0.45574,             0.67537,             0.41768,            0.033374,            0.040853,           0.0083121,             0.00769,             0.00769,             0.00769
                  72,            0.042796,            0.050401,           0.0099456,             0.92969,             0.39767,             0.56598,             0.30626,            0.039057,            0.049044,           0.0089461,            0.007657,            0.007657,            0.007657
                  73,            0.041491,            0.050041,           0.0095011,             0.94299,              0.4498,              0.6253,             0.36976,            0.031804,            0.041277,           0.0075369,            0.007624,            0.007624,            0.007624
                  74,            0.042084,            0.047675,            0.010233,             0.90728,               0.314,             0.50124,             0.25937,            0.045359,            0.061856,           0.0096067,            0.007591,            0.007591,            0.007591
                  75,            0.043834,            0.049465,           0.0097166,             0.94698,             0.46125,              0.6124,             0.35548,             0.03322,            0.042849,           0.0071498,            0.007558,            0.007558,            0.007558
                  76,            0.039991,            0.047245,           0.0096221,             0.95725,             0.44535,             0.64425,              0.3749,             0.03313,            0.041236,           0.0071731,            0.007525,            0.007525,            0.007525
                  77,             0.03891,            0.048717,           0.0089756,             0.96854,             0.45293,              0.6292,             0.38732,            0.031164,            0.039591,           0.0068588,            0.007492,            0.007492,            0.007492
                  78,             0.04042,            0.047445,           0.0095488,             0.95713,             0.45935,             0.64484,             0.36523,             0.03587,            0.040458,           0.0071054,            0.007459,            0.007459,            0.007459
                  79,            0.039645,            0.050221,           0.0094072,             0.94411,             0.46079,             0.63739,             0.35506,              0.0352,            0.040691,           0.0071284,            0.007426,            0.007426,            0.007426
                  80,            0.040239,            0.048128,           0.0099268,             0.94706,             0.45234,             0.65216,             0.39733,            0.034183,            0.040708,           0.0071664,            0.007393,            0.007393,            0.007393
                  81,            0.043106,            0.046884,           0.0092407,             0.90016,             0.17686,             0.33102,             0.14753,            0.053596,            0.097878,            0.011504,             0.00736,             0.00736,             0.00736
                  82,            0.039308,             0.05019,           0.0089792,             0.93057,             0.45951,             0.66284,             0.39882,            0.033445,             0.04371,           0.0065872,            0.007327,            0.007327,            0.007327
                  83,            0.038775,            0.047044,           0.0093789,             0.74733,             0.53984,             0.67802,             0.42413,            0.030924,            0.039565,           0.0067919,            0.007294,            0.007294,            0.007294
                  84,            0.037529,            0.048149,           0.0088273,             0.96459,             0.46011,             0.65986,             0.40096,            0.032182,            0.039681,           0.0067651,            0.007261,            0.007261,            0.007261
                  85,            0.038872,            0.048543,           0.0091446,             0.95369,             0.45576,             0.63682,             0.38339,            0.031171,            0.040582,           0.0074833,            0.007228,            0.007228,            0.007228
                  86,            0.037478,            0.047081,           0.0088947,              0.9541,             0.44484,             0.60541,             0.35849,             0.03547,            0.043257,           0.0083959,            0.007195,            0.007195,            0.007195
